,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-04-05,1026.95,-0.9999,0.156,0.749,0.095,1031.35,1042.4,1022.2,2345148.0
2016-04-06,1033.75,-0.9999,0.136,0.778,0.086,1032.1,1036.7,1022.6,1597975.0
2016-04-07,1037.25,-0.9998,0.122,0.803,0.076,1034.9,1048.0,1022.1,2009055.0
2016-04-08,1036.35,-0.9996,0.118,0.794,0.087,1035.9,1054.45,1031.2,3065701.0
2016-04-11,1040.3,-0.9995,0.131,0.764,0.105,1037.0,1045.5,1033.0,2356318.0
2016-04-12,1047.4,-0.9998,0.139,0.761,0.1,1040.3,1057.45,1038.05,2552099.0
2016-04-13,1066.05,-0.9998,0.123,0.797,0.079,1052.55,1069.9,1052.55,3666141.0
2016-04-18,1064.75,-0.9995,0.12,0.786,0.094,1065.8,1066.8,1055.4,4358102.0
2016-04-20,1037.3,-0.9999,0.145,0.778,0.077,1069.2,1069.2,1035.8,4957497.0
2016-04-21,1041.15,-0.9999,0.158,0.756,0.086,1041.4,1052.0,1035.0,2601436.0
2016-04-22,1038.95,-0.9994,0.123,0.772,0.105,1039.0,1047.5,1029.3,2675586.0
2016-04-25,1016.9,-0.9999,0.149,0.76,0.091,1044.45,1044.45,1012.3,13979586.0
2016-04-26,1016.95,-0.9999,0.149,0.768,0.083,1015.4,1023.9,1007.5,6041279.0
2016-04-27,1019.4,-0.9999,0.152,0.775,0.074,1017.9,1025.95,1016.0,3315060.0
2016-04-28,996.7,-0.9999,0.143,0.769,0.087,1014.0,1019.2,990.95,14160507.0
2016-04-29,982.7,-0.9998,0.122,0.795,0.083,993.45,998.55,978.85,5367060.0
2016-05-02,986.95,-0.9998,0.143,0.752,0.106,979.0,992.4,978.0,2427753.0
2016-05-03,975.8,-0.9999,0.146,0.759,0.095,988.0,994.95,972.75,4016624.0
2016-05-04,978.1,-0.9999,0.151,0.747,0.102,974.05,983.7,973.0,3096453.0
2016-05-05,975.25,-0.9999,0.151,0.752,0.097,980.0,983.45,970.9,4952411.0
2016-05-06,968.95,-0.9997,0.128,0.775,0.097,973.0,976.8,967.0,3371220.0
